事業單位名稱,違反法令條,違反法規內容,處分書文號,處分日期,罰鍰金額
一大貨運有限公司,勞動基準法第30條第6項;勞動基準法第38條,未記載勞工出勤情形至分鐘為止;未依規定給予特別休假,高市勞條字第10637908600號,1060921,
九龍齋食品有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,高市勞條字第1063941040A號,1061127,
大軍保全股份有限公司,勞動基準法第23條第1項,工資未定期給付勞工,高市勞條字第10640026800號,1061122,
中正路婚紗攝影有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10639474800號,1061124,
中正路婚紗攝影有限公司,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第1063947480A號,1061124,
中華郵政股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10637178700號,1060822,
中華語文國際教育股份有限公司附設高雄市私立南華語文短期補習班,勞動基準法第24條;勞動基準法第36條,延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假,高市勞條字第10636190500號,1060912,
中菲行國際物流股份有限公司,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,高市勞條字第10636224600號,1060802,
中鼎工程股份有限公司,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;每七日中未有一日之休息作為例假,高市勞條字第10639618600號,1061115,
方意絨即衣都男女服飾企業社,勞動基準法第24條;勞動基準法第36條,延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假,高市勞條字第10639414200號,1061128,
日興運輸股份有限公司,勞動基準法第22條第2項;勞動基準法第24條,工資未全額直接給付勞工;延長工作時間未依規定加給工資,高市勞條字第10639269400號,1061115,
日鏵國際企劃股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10638783800號,1061107,
世國大飯店股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊;未記載勞工出勤情形至分鐘為止,高市勞條字第10640047600號,1061123,
台灣中油股份有限公司,勞動基準法第24條;勞動基準法第39條,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10637100100號,1060822,
