事業單位名稱,違反法令條,違反法規內容,處分書文號,處分日期,罰鍰金額
伊騰國際行銷有限公司,勞動基準法第21條第1項;勞動基準法第22條第2項;勞動基準法第43條,未達基本工資;工資未全額直接給付勞工;請假期間未依規定給付工資,高市勞條字第10731476500號,1070313,
高雄市私立健康老人長期照顧中心(養護型),勞動基準法第24條;勞動基準法第34條第2項;勞動基準法第39條,延長工作時間未依規定加給工資;晝夜輪班制更換工作班次未依規定給予休息;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731834500號,1070315,
高雄市私立全人老人長期照顧中心(養護型),勞動基準法第21條第1項;勞動基準法第24條,未達基本工資;延長工作時間未依規定加給工資,高市勞條字第10732127500號,1070326,
鞋子大王企業有限公司,勞動基準法第24條;勞動基準法第39條,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731867400號,1070329,
新合江股份有限公司,勞動基準法第24條;勞動基準法第39條,延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731418300號,1070301,
蔣瑞銘即名倫汽車美容坊,勞動基準法第23條第1項;勞動基準法第30條第6項,工資未定期給付勞工;未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731542700號,1070307,
良安行有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日。,高市勞條字第10731162800號,1070308,
大高雄遊覽車客運股份有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日。,高市勞條字第10731221500號,1070312,
裕樂家有限公司,勞動基準法第23條第2項;勞動基準法第30條第6項,未依規定置備勞工工資清冊;未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731763800號,1070312,
大直企業有限公司,勞動基準法第23條第1項;勞動基準法第30條第6項,工資未定期給付勞工;未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731762900號,1070312,
鈺陞興業有限公司,勞動基準法第21條第1項;勞動基準法第24條,未達基本工資;延長工作時間未依規定加給工資,高市勞條字第10731749300號,1070313,
媚登峰健康事業股份有限公司,勞動基準法第24條;勞動基準法第35條,延長工作時間未依規定加給工資;繼續工作四小時未有三十分鐘休息,高市勞條字第10731415900號,1070316,
國聯機械實業股份有限公司,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731944000號,1070323,
高精準金屬股份有限公司,勞動基準法第32條第2項;勞動基準法第38條,延長工作時間超過法令規定;未依規定給予特別休假,高市勞條字第10731695200號,1070327,
日安環保工程股份有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10732265600號,1070328,
張愛媛即夜貓子雪花冰,勞動基準法第23條第2項;勞動基準法第30條第6項,未依規定置備勞工工資清冊;未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10732267900號,1070328,
嘉賀公寓大廈管理維護有限公司,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,高市勞條字第10731561500號,1070307,
羅曼蒂櫻桃大廈管理委員會,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,高市勞條字第10731722100號,1070308,
一級棒國際物業管理有限公司,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,高市勞條字第10731837100號,1070315,
小麥貿易有限公司,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,高市勞條字第10732113200號,1070327,
順懋興企業有限公司,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,高市勞條字第10732271800號,1070328,
巨頂精密工業有限公司,勞動基準法第23條第1項,工資未定期給付勞工,高市勞條字第10731538900號,1070306,
楊騏華即艾蕾雅時尚醫美診所,勞動基準法第23條第1項,工資未定期給付勞工,高市勞條字第10731625100號,1070307,
斌志企業社,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731147000號,1070307,
永成信機電有限公司,勞動基準法第23條第1項;勞動基準法第23條第2項,工資未定期給付勞工；未依規定置備勞工工資清冊,高市勞條字第10731252600號,1070308,
高億冷藏股份有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731429300號,1070308,
亞梭傢俬國際股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊,高市勞條字第1073162960A號,1070308,
范絢真即兆荃企業行,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731611000號,1070312,
大直企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,高市勞條字第1073176290A號,1070312,
高麗亞餐廳有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731642200號,1070314,
廣華機電整合有限公司,勞動基準法第59條,未依規定給予勞工職業災害補償,高市勞條字第10731641400號,1070314,
金桔春有限公司,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731502500號,1070316,
興威通運股份有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731786900號,1070316,
高雄市私立小護士老人長期照顧中心(養護型),勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731836100號,1070316,
萬安保全股份有限公司,勞動基準法第38條,未依規定給予特別休假,高市勞條字第10731906600號,1070316,
鴻誠公寓大廈管理維護有限公司,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731976000號,1070321,
高雄市私立徠能文理短期補習班,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731499500號,1070321,
葉大樹即湖康診所,勞動基準法第22條第2項,工資未全額直接給付勞工,高市勞條字第10731646300號,1070322,
寶大交通股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,高市勞條字第10731636000號,1070322,
九九九檢測科技有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊,高市勞條字第10731252700號,1070322,
鑫維工程有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731944300號,1070323,
標玉瑾即博亞商行,勞動基準法第22條第2項,工資未全額直接給付勞工,高市勞條字第10732055600號,1070327,
俊良貿易股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731310700號,1070327,
吉品養生股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731860100號,1070328,
心車股份有限公司,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止,高市勞條字第10731646400號,1070328,
魚中魚樂活有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,高市勞條字第10731611100號,1070329,
