事業單位名稱,違反法令條,違反法規內容,處分書文號,處分日期,罰鍰金額
國巨股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10731511600號,1070315,
亞梭傢俬國際股份有限公司,勞動基準法第30條第5項;勞動基準法第36條;勞動基準法第38條;勞動基準法第39條,未依規定置備勞工出勤紀錄表;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731629600號,1070308,
廖俊傑即康莊廣招英美食,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10731531700號,1070316,
詔暘企業有限公司,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10731502400號,1070316,
力行保全股份有限公司,勞動基準法第21條第1項;勞動基準法第24條;勞動基準法第30條第6項;勞動基準法第32條第2項;勞動基準法第39條,未達基本工資;延長工作時間未依規定加給工資;未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731221300號,1070301,
林皇宮席宴股份有限公司,勞動基準法第22條第2項;勞動基準法第23條第1項;勞動基準法第23條第2項;勞動基準法第36條;勞動基準法第39條;勞動基準法第70條,工資未全額直接給付勞工;工資未定期給付勞工;未依規定置備勞工工資清冊;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;假日工資未給或於休假日工作未依規定加給工資;工作規則未依規定報備並公告揭示,高市勞條字第10731080100號,1070309,
永成信機電有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市勞條字第1073125260A號,1070308,
翔群物業管理顧問有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市勞條字第1073149270A號,1070322,
九九九檢測科技有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市勞條字第1073125270A號,1070322,
春鑫食品有限公司,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731221100號,1070302,
高都遊覽車客運有限公司,勞動基準法第36條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731221400號,1070309,
翔群物業管理顧問有限公司,勞動基準法第22條第2項;勞動基準法第23條第2項;勞動基準法第30條第6項;勞動基準法第32條第2項,工資未全額直接給付勞工;未依規定置備勞工工資清冊;未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定,高市勞條字第10731492700號,1070322,
高雄空廚股份有限公司,勞動基準法第24條;勞動基準法第36條;勞動基準法第39條,延長工作時間未依規定加給工資;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10731849600號,1070326,
竑堂美食館,勞動基準法第24條;勞動基準法第36條;勞動基準法第39條,延長工作時間未依規定加給工資;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10730911400號,1070306,
絕對生活股份有限公司,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10731365500號,1070312,
